Entry	Reviewed	Gene Names
I6Y8U3	unreviewed	Rv0807
I6Y8V2	unreviewed	thiX Rv0816c
I6Y8X0	unreviewed	pip Rv0840c
I6Y8Y0	unreviewed	far Rv0855
I6Y8Y8	unreviewed	mog Rv0865
I6Y8Z3	unreviewed	Rv0870c
I6Y936	unreviewed	PE7 MTB10 Rv0916c
I6Y941	unreviewed	Rv0920c
I6Y946	unreviewed	Rv0925c
I6Y9E8	unreviewed	Rv2475c
I6Y9H2	unreviewed	Rv2499c
I6Y9I3	unreviewed	Rv2509
I6Y9K2	unreviewed	mrr Rv2528c
I6Y9M6	unreviewed	Rv2551c
I6Y9U6	unreviewed	Rv2620c
I6Y9Z5	unreviewed	Rv2664
I6YA17	unreviewed	Rv2699c
I6YA21	unreviewed	Rv2704
I6YA25	unreviewed	Rv2709
I6YA29	unreviewed	Rv2714
I6YA42	unreviewed	Rv2734
I6YA47	unreviewed	Rv2738c
I6YA75	unreviewed	Rv2772c
I6YA93	unreviewed	Rv2792c
I6YAA5	unreviewed	Rv2806
I6YAC9	unreviewed	Rv2828A
I6YAE2	unreviewed	Rv2843
I6YAU3	unreviewed	Rv2997
I6YAV3	unreviewed	Rv3005c
I6YAW3	unreviewed	Rv3015c
I6YAY5	unreviewed	Rv3033
I6YAZ1	unreviewed	Rv3038c
I6YB11	unreviewed	Rv3057c
I6YB49	unreviewed	Rv3091
I6YB54	unreviewed	Rv3096
I6YBN6	unreviewed	mgtC Rv1811
I6YBQ3	unreviewed	lrpA Rv3291c
I6YC39	unreviewed	Rv3430c
I6YC44	unreviewed	Rv3434c
I6YC49	unreviewed	Rv3439c
I6YC91	unreviewed	Rv3489
I6YC95	unreviewed	mce4F Rv3494c
I6YC99	unreviewed	mce4A mce4 Rv3499c
I6YCB9	unreviewed	Rv3525c
I6YCC4	unreviewed	Rv3529c
I6YCE1	unreviewed	Rv3549c
I6YCF3	unreviewed	helZ Rv2101
I6YCG9	unreviewed	arsB2 Rv3578
I6YCP0	unreviewed	Rv3651
I6YCP7	unreviewed	Rv3662c
I6YCQ4	unreviewed	ephE Rv3670
I6YCQ7	unreviewed	Rv3675
I6YCR8	unreviewed	Rv3689
I6YCS6	unreviewed	Rv3698
I6YDH3	unreviewed	Rv2468A
I6YDI9	unreviewed	plsC Rv2483c
I6YDJ7	unreviewed	Rv2492
I6YDM0	unreviewed	Rv2516c
I6YDN6	unreviewed	pepQ Rv2535c
I6YDV4	unreviewed	Rv2609c
I6YE30	unreviewed	Rv2657c
I6YE67	unreviewed	Rv2707
I6YE70	unreviewed	Rv2712c
I6YEB1	unreviewed	hsdS Rv2761c
I6YEB6	unreviewed	fabG5 Rv2766c
I6YEE6	unreviewed	Rv2800
I6YEE9	unreviewed	Rv2804c
I6YEF3	unreviewed	Rv2809
I6YEH6	unreviewed	echA16 Rv2831
I6YEL8	unreviewed	merT Rv2877c
I6YEN3	unreviewed	Rv2893
I6YEW1	unreviewed	Rv2990c
I6YEY1	unreviewed	Rv3008
I6YF11	unreviewed	Rv3041c
I6YF16	unreviewed	Rv3046c
I6YF40	unreviewed	Rv3075c
I6YG27	unreviewed	Rv3415c
I6YG51	unreviewed	Rv3437
I6YG83	unreviewed	Rv3472
I6YG87	unreviewed	PE31 Rv3477
I6YG92	unreviewed	Rv3482c
I6YGA5	unreviewed	Rv3492c
I6YGB1	unreviewed	mce4C Rv3497c
I6YGC8	unreviewed	fadD18 Rv3513c
I6YGD8	unreviewed	ltp3 Rv3523
I6YGE4	unreviewed	Rv3528c
I6YGH7	unreviewed	fadE31 Rv3562
I6YGI1	unreviewed	Rv3566A
I6YGJ4	unreviewed	lppH pknM Rv3576
I6YGL1	unreviewed	Rv3591c
I6YGR2	unreviewed	Rv3612c
I6YGS7	unreviewed	PE32 Rv3622c
I6YGT7	unreviewed	Rv3632
I6YGU1	unreviewed	Rv3639c
I6YGV9	unreviewed	dppB Rv3665c
I6YGW2	unreviewed	Rv3668c
I6YGW6	unreviewed	Rv3673c
I6YGW9	unreviewed	Rv3678c
I6YGX9	unreviewed	moxR2 Rv3692
I6YGY9	unreviewed	Rv3705A
I6YHB0	unreviewed	hns Rv3852
L0T243	unreviewed	Rv0012
L0T2H7	unreviewed	PE_PGRS1 Rv0109
L0T2Q9	unreviewed	yrbE1B Rv0168
L0T2Z1	unreviewed	Rv0197
L0T3X8	unreviewed	PE_PGRS6 Rv0532
L0T545	unreviewed	PPE7 Rv0354c
L0T643	unreviewed	Rv0323c
L0T897	unreviewed	Rv1042c Rv1149
L0T9U5	unreviewed	Rv1575
L0TA08	unreviewed	Rv1574
L0TAY1	unreviewed	Rv1907c
L0TB61	unreviewed	Rv2037c
L0TBL4	unreviewed	PE_PGRS37 Rv2126c
L0TC46	unreviewed	Rv2369c
L0TCB8	unreviewed	PE_PGRS51 Rv3367
L0TDU1	unreviewed	sugI Rv3331
L0TEV4	unreviewed	dppC Rv3664c
L7N648	unreviewed	PE6 Rv0335c
L7N649	unreviewed	PE18 Rv1788
L7N651	unreviewed	Rv0470A
L7N652	unreviewed	uspB Rv2317
L7N656	unreviewed	PE20 Rv1806
L7N657	unreviewed	TB18.5 Rv0164
L7N658	unreviewed	Rv3294c
L7N659	unreviewed	PE_PGRS39 Rv2340c
L7N660	unreviewed	PE36 Rv3893c
L7N661	unreviewed	PE4 Rv0160c
L7N663	unreviewed	amiA1 amiA Rv3305c
L7N665	unreviewed	kefB Rv3236c
L7N666	unreviewed	Rv2309A
L7N667	unreviewed	PE8 Rv1040c
L7N668	unreviewed	Rv3196A
L7N670	unreviewed	galE3 galE2 Rv0536
L7N671	unreviewed	ccdA ccsA Rv0527
L7N672	unreviewed	pcnA Rv3907c
L7N673	unreviewed	Rv1638A
L7N674	unreviewed	moeB2 moeB Rv3116
L7N677	unreviewed	oxyS Rv0117
L7N678	unreviewed	Rv2307A
L7N681	unreviewed	PE17 Rv1646
L7N683	unreviewed	Rv2307D
L7N684	unreviewed	dapE2 Rv2141c
L7N685	unreviewed	usfY Rv3288c
L7N686	unreviewed	Rv0078A
L7N687	unreviewed	Rv3322c
L7N688	unreviewed	fadB3 Rv1715
L7N691	unreviewed	Rv1473A
L7N692	unreviewed	Rv1489
L7N693	unreviewed	PE12 Rv1172c
L7N694	unreviewed	Rv0257
L7N698	unreviewed	mce3A mce3 Rv1966
L7N699	unreviewed	fadD34 Rv0035
L7N6A1	unreviewed	PE_PGRS38 Rv2162c
L7N6A2	unreviewed	Rv0275c
L7N6A4	unreviewed	Rv1000c
L7N6A7	unreviewed	PE14 Rv1214c
L7N6A8	unreviewed	Rv1489A
L7N6B1	unreviewed	Rv1322A
L7N6B2	unreviewed	fecB2 Rv0265c
L7N6B3	unreviewed	adhE1 Rv0162c
L7N6B5	unreviewed	PE22 Rv2107
L7N6B6	unreviewed	Rv1507A
L7N6B8	unreviewed	Rv2077A
L7N6B9	unreviewed	gabP Rv0522
O05293	unreviewed	Rv1191
O05294	unreviewed	Rv1192
O05295	unreviewed	fadD36 Rv1193
O05296	unreviewed	Rv1194c
O05301	unreviewed	Rv1200
O05304	unreviewed	Rv1203c
O05305	unreviewed	Rv1204c
O05310	unreviewed	Rv1209
O05311	unreviewed	tagA Rv1210
O05312	unreviewed	Rv1211
O05316	unreviewed	Rv1215c
O05317	unreviewed	Rv1216c
O05436	unreviewed	Rv3909
O05439	unreviewed	Rv3906c
O05444	unreviewed	Rv3901c
O05445	unreviewed	Rv3900c
O05446	unreviewed	Rv3899c
O05447	unreviewed	Rv3898c
O05448	unreviewed	Rv3896c
O05456	unreviewed	Rv3888c
O05573	unreviewed	Rv0990c
O05574	unreviewed	Rv0991c
O05579	unreviewed	Rv0996
O05580	unreviewed	Rv0997
O05582	unreviewed	Rv0999
O05589	unreviewed	Rv1004c
O05591	unreviewed	pabB Rv1005c
O05592	unreviewed	Rv1006
O05597	unreviewed	Rv1012
O05772	unreviewed	Rv3093c
O05773	unreviewed	Rv3094c
O05776	unreviewed	Rv3098c
O05777	unreviewed	Rv3099c
O05780	unreviewed	Rv3103c
O05781	unreviewed	Rv3104c
O05785	unreviewed	Rv3108
O05790	unreviewed	Rv3113
O05791	unreviewed	Rv3114
O05796	unreviewed	Rv3120
O05805	unreviewed	Rv2854
O05823	unreviewed	Rv2375
O05828	unreviewed	Rv2370c
O05833	unreviewed	Rv2365c
O05838	unreviewed	Rv2360c
O05842	unreviewed	Rv3224
O05844	unreviewed	Rv3222c
O05848	unreviewed	Rv3218
O05849	unreviewed	Rv3217c
O05853	unreviewed	Rv3213c
O05854	unreviewed	Rv3212
O05856	unreviewed	Rv3210c
O05857	unreviewed	Rv3209
O05859	unreviewed	Rv3207c
O05861	unreviewed	Rv3205c
O05862	unreviewed	Rv3204
O05873	unreviewed	Rv3228
O05876	unreviewed	Rv3231c
O05880	unreviewed	Rv3235
O05882	unreviewed	Rv3237c
O05887	unreviewed	Rv3242c
O05888	unreviewed	Rv3243c
O05896	unreviewed	Rv3253c
O05899	unreviewed	Rv3256c
O05900	unreviewed	Rv0907
O05904	unreviewed	Rv0912
O05910	unreviewed	Rv0918
O06128	unreviewed	Rv1610
O06132	unreviewed	Rv1615
O06133	unreviewed	Rv1616
O06135	unreviewed	tesB1 Rv1618
O06141	unreviewed	Rv1624c
O06144	unreviewed	Rv1627c
O06145	unreviewed	Rv1628c
O06149	unreviewed	Rv1632c
O06152	unreviewed	Rv1635c
O06154	unreviewed	Rv1637c
O06170	unreviewed	Rv2507
O06171	unreviewed	Rv2508c
O06175	unreviewed	Rv2513
O06178	unreviewed	Rv1532c
O06180	unreviewed	Rv1535
O06194	unreviewed	Rv2619c
O06195	unreviewed	Rv2618
O06198	unreviewed	Rv2616
O06213	unreviewed	Rv2164c
O06216	unreviewed	Rv2161c
O06230	unreviewed	Rv2146c
O06231	unreviewed	Rv2144c
O06232	unreviewed	Rv2143
O06237	unreviewed	lppL Rv2138
O06238	unreviewed	Rv2137c
O06240	unreviewed	Rv2135c
O06241	unreviewed	Rv2134c
O06243	unreviewed	Rv2132
O06252	unreviewed	Rv3435c
O06257	unreviewed	Rv3440c
O06263	unreviewed	Rv3446c
O06270	unreviewed	Rv3613c
O06277	unreviewed	Rv3605c
O06278	unreviewed	Rv3604c
O06279	unreviewed	Rv3603c
O06295	unreviewed	lpqJ Rv0344c
O06296	unreviewed	Rv0345
O06298	unreviewed	Rv0347
O06299	unreviewed	Rv0348
O06300	unreviewed	Rv0349
O06308	unreviewed	Rv0358
O06310	unreviewed	Rv0360c
O06315	unreviewed	Rv0365c
O06336	unreviewed	Rv3471c
