Entry	Reviewed	Gene Names
Q39WQ6	unreviewed	mcp36H Gmet_1078
Q39WR1	unreviewed	cas2 Gmet_1073
Q39WR2	unreviewed	cas1 Gmet_1072
Q39WR4	unreviewed	cas4 Gmet_1070
Q39WR9	unreviewed	cas5d Gmet_1065
Q39WS0	unreviewed	cas3 Gmet_1064
Q39WS1	unreviewed	fdnT tatA Gmet_1063
Q39WS3	unreviewed	fdnI Gmet_1061
Q39WS4	unreviewed	fdnH Gmet_1060
Q39WS5	unreviewed	fdnG Gmet_1059
Q39WS7	unreviewed	Gmet_1057
Q39WU8	unreviewed	moaB Gmet_1036
Q39WU9	unreviewed	pta Gmet_1035
Q39WW0	unreviewed	narI-2 Gmet_1022
Q39WW1	unreviewed	narH-2 Gmet_1021
Q39WW2	unreviewed	narG-2 Gmet_1020
Q39WW6	unreviewed	acnA Gmet_1016
Q39WX7	unreviewed	Gmet_1005
Q39WZ0	unreviewed	nifS-1 Gmet_0992
Q39WZ1	unreviewed	nifU Gmet_0991
Q39WZ6	unreviewed	mqnA Gmet_0986
Q39WZ7	unreviewed	gcvH larG Gmet_0985
Q39WZ8	unreviewed	accC Gmet_0984
Q39WZ9	unreviewed	accB Gmet_0983
Q39X07	unreviewed	pilQ Gmet_0975
Q39X22	unreviewed	Gmet_0960
Q39X23	unreviewed	pilD Gmet_0959
Q39X34	unreviewed	iorA-2 Gmet_0948
Q39X40	unreviewed	recN Gmet_0942
Q39X42	unreviewed	glgP Gmet_0940
Q39X43	unreviewed	rarA Gmet_0939
Q39X51	unreviewed	Gmet_0931
Q39X54	unreviewed	mrdA Gmet_0928
Q39X56	unreviewed	mreC Gmet_0926
Q39X58	unreviewed	rmlA Gmet_0924
Q39X59	unreviewed	gmhB Gmet_0923
Q39X64	unreviewed	mreB Gmet_0918
Q39X79	unreviewed	nspC Gmet_0903
Q39X83	unreviewed	proC Gmet_0899
Q39X86	unreviewed	yggS Gmet_0896
Q39XA7	unreviewed	Gmet_0875
Q39XA8	unreviewed	mtaB Gmet_0874
Q39XB2	unreviewed	cysE Gmet_0870
Q39XC7	unreviewed	secF Gmet_0855
Q39XC8	unreviewed	secD Gmet_0854
Q39XD8	unreviewed	bioC Gmet_0844
Q39XG0	unreviewed	pgsA-2 Gmet_0822
Q39XG6	unreviewed	pyc Gmet_0816
Q39XK2	unreviewed	cheBR Gmet_0780
Q39XK5	unreviewed	Gmet_0777
Q39XL2	unreviewed	ppsA Gmet_0770
Q39XP3	unreviewed	aplA Gmet_0739
Q39XQ1	unreviewed	Gmet_0731
Q39XR8	unreviewed	nudC Gmet_0714
Q39XR9	unreviewed	Gmet_0713
Q39XT1	unreviewed	Gmet_0701
Q39XT4	unreviewed	metC-1 Gmet_0698
Q39XT5	unreviewed	hisN Gmet_0697
Q39XT7	unreviewed	amtB Gmet_0695
Q39XT8	unreviewed	glnK Gmet_0694
Q39XU0	unreviewed	nifV Gmet_0692
Q39XW3	unreviewed	nifEN Gmet_0669
Q39XW6	unreviewed	Gmet_0666
Q39XW9	unreviewed	nifD Gmet_0663
Q39XY6	unreviewed	secY Gmet_0646
Q39Y18	unreviewed	nusG Gmet_0614
Q39Y19	unreviewed	secE Gmet_0613
Q39Y20	unreviewed	rpmG Gmet_0612
Q39Y24	unreviewed	rpsI Gmet_0607
Q39YA4	unreviewed	Gmet_0527
Q39YB8	unreviewed	modB Gmet_0513
Q39YC7	unreviewed	metF-2 Gmet_0504
Q39YC8	unreviewed	Gmet_0503
Q39YD6	unreviewed	folK Gmet_0495
Q39YE4	unreviewed	cobD Gmet_0487
Q39YE6	unreviewed	cbiH cbiP cobQ Gmet_0485
Q39YF2	unreviewed	Gmet_0479
Q39YF6	unreviewed	cbiO Gmet_0475
Q39YF9	unreviewed	cbiM Gmet_0472
Q39YG2	unreviewed	cobC Gmet_0469
Q39YI0	unreviewed	uxaC Gmet_0451
Q39YI7	unreviewed	fliD Gmet_0444
